Date,Segment,Easter,DRV,HL,Precio,NPrecio,INPC,IGAE,TAVG,PRCP
01/01/2013,Core.plus_Bote,No Easter,Central-Bajio,15.9132,10.2496,10.0485,80.8928,97.9670,64.0399,0.4100
01/01/2013,Core.plus_Bote,No Easter,Centro Sur,14.4631,10.2055,10.1155,80.8928,97.9670,71.7097,0.0000
01/01/2013,Core.plus_Bote,No Easter,Norte,15.5021,10.2124,10.0539,80.8928,97.9670,59.9225,0.1836
01/01/2013,Core.plus_Bote,No Easter,Occidente,15.7271,10.2005,10.0723,80.8928,97.9670,61.2378,0.2317
01/01/2013,Core.plus_Bote,No Easter,Sureste,15.4236,10.1899,10.0412,80.8928,97.9670,75.8758,1.6434
01/01/2013,Core.plus_Familiar,No Easter,Norte,9.9928,10.2843,10.2061,80.8928,97.9670,57.3344,0.1032
01/01/2013,Core.plus_Laton,No Easter,Norte,9.6565,10.1141,10.0680,80.8928,97.9670,66.2258,0.5500
01/01/2013,Core.plus_Laton,No Easter,Sureste,10.8360,9.7458,9.7199,80.8928,97.9670,73.0323,1.9600
01/01/2013,Core.plus_Media,No Easter,Central-Bajio,13.1771,10.3076,10.2502,80.8928,97.9670,63.2212,0.3965
01/01/2013,Core.plus_Media,No Easter,Centro Sur,11.3399,10.2750,10.1754,80.8928,97.9670,71.7097,0.0000
01/01/2013,Core.plus_Media,No Easter,Norte,11.5725,10.3103,10.2215,80.8928,97.9670,59.3437,0.1779
01/01/2013,Core.plus_Media,No Easter,Occidente,11.6329,10.2658,10.1699,80.8928,97.9670,61.6238,0.2157
01/01/2013,Core.plus_Media,No Easter,Sureste,12.1049,10.2635,10.1499,80.8928,97.9670,76.1198,1.5994
01/01/2013,Core_Bote,No Easter,Central-Bajio,13.4945,10.1673,10.1114,80.8928,97.9670,62.5952,0.3767
01/01/2013,Core_Bote,No Easter,Centro Sur,10.4872,10.2245,10.1656,80.8928,97.9670,71.7097,0.0000
01/01/2013,Core_Bote,No Easter,Norte,13.7444,10.2791,10.1738,80.8928,97.9670,59.0470,0.1583
01/01/2013,Core_Bote,No Easter,Occidente,14.2684,10.2174,10.1005,80.8928,97.9670,62.1641,0.1902
01/01/2013,Core_Bote,No Easter,Sureste,12.7049,10.0342,9.8969,80.8928,97.9670,75.8304,1.6833
01/01/2013,Core_Cuarto,No Easter,Central-Bajio,14.4470,9.9516,9.8604,80.8928,97.9670,63.7835,0.3967
01/01/2013,Core_Cuarto,No Easter,Centro Sur,13.5720,9.9774,9.8076,80.8928,97.9670,71.7097,0.0000
01/01/2013,Core_Cuarto,No Easter,Norte,13.7831,10.0131,9.7659,80.8928,97.9670,61.2024,0.2202
01/01/2013,Core_Cuarto,No Easter,Occidente,14.5389,9.9814,9.8475,80.8928,97.9670,63.6912,0.1117
01/01/2013,Core_Cuarto,No Easter,Sureste,15.1051,9.9021,9.7707,80.8928,97.9670,76.1639,1.5671
01/01/2013,Core_Familiar,No Easter,Central-Bajio,16.1066,9.7384,9.6483,80.8928,97.9670,63.1978,0.3982
01/01/2013,Core_Familiar,No Easter,Centro Sur,13.9436,9.8032,9.7307,80.8928,97.9670,71.7097,0.0000
01/01/2013,Core_Familiar,No Easter,Norte,15.3154,9.8650,9.7449,80.8928,97.9670,59.7504,0.1757
01/01/2013,Core_Familiar,No Easter,Occidente,14.9189,9.8177,9.7298,80.8928,97.9670,64.2554,0.1183
01/01/2013,Core_Familiar,No Easter,Sureste,15.2578,9.7714,9.6473,80.8928,97.9670,76.2370,1.5315
01/01/2013,Core_Laton,No Easter,Central-Bajio,12.4903,9.8517,9.8178,80.8928,97.9670,58.8943,0.5335
01/01/2013,Core_Laton,No Easter,Norte,10.9870,10.3788,10.3140,80.8928,97.9670,59.4565,0.1457
01/01/2013,Core_Laton,No Easter,Occidente,13.7695,10.0545,9.9500,80.8928,97.9670,60.1689,0.2647
01/01/2013,Core_Laton,No Easter,Sureste,8.9913,9.9754,9.8485,80.8928,97.9670,75.2823,1.8638
01/01/2013,Core_Media,No Easter,Central-Bajio,16.6292,9.8295,9.7393,80.8928,97.9670,63.5690,0.4065
01/01/2013,Core_Media,No Easter,Centro Sur,16.1556,9.7858,9.6748,80.8928,97.9670,71.7097,0.0000
